url,category,Date,Template,View Count,是否被收录
https://www.**************.com/en-za/mpumalanga,za,03-JAN-24,state landing page,80,是
https://www.**************.com/en-za/gauteng,za,02-JAN-24,state landing page,57,是
https://www.**************.com/en-za/eastern-cape,za,02-JAN-24,state landing page,161,是
https://www.**************.com/en-il/northern-district,il,02-JAN-24,state landing page,56,是
https://www.**************.com/en-il/southern-district,il,02-JAN-24,state landing page,79,是
https://www.**************.com/en-il/haifa,il,02-JAN-24,state landing page,56,是
https://www.**************.com/en-in/chandigarh,in,01-JAN-24,state landing page,331,是
https://www.**************.com/en-in/lakshadweep,in,01-JAN-24,state landing page,46,是
https://www.**************.com/en-in/andaman-and-nicobar,in,01-JAN-24,state landing page,63,是
https://www.**************.com/en-in/mizoram,in,01-JAN-24,state landing page,64,是
https://www.**************.com/en-in/arunachal-pradesh,in,01-JAN-24,state landing page,62,是
https://www.**************.com/en-in/nagaland,in,24-DEC-23,state landing page,125,是
https://www.**************.com/en-in/manipur,in,22-DEC-23,state landing page,84,是
https://www.**************.com/in/tripura,in,22-DEC-23,state landing page,50,是
https://www.**************.com/in/himachal-pradesh,in,22-DEC-23,state landing page,57,是
https://www.**************.com/in/uttarakhand,in,21-DEC-23,state landing page,165,是
https://www.**************.com/in/jammu-and-kashmir,in,21-DEC-23,state landing page,84,是
https://www.**************.com/en-in/chhattisgarh,in,21-DEC-23,state landing page,85,是
https://www.**************.com/en-in/assam,in,21-DEC-23,state landing page,191,是
https://www.**************.com/en-in/jharkhand,in,21-DEC-23,state landing page,89,是
https://www.**************.com/ma/benslimane,ma,01-FEB-24,state landing page,12,是
https://www.**************.com/ma/beni-mellal,ma,01-FEB-24,state landing page,15,是
https://www.**************.com/ma/azilal-province,ma,01-FEB-24,state landing page,11,是
https://www.**************.com/en-tr/denizli,tr,01-FEB-24,state landing page,9,是
https://www.**************.com/ma/al-hoceima,ma,01-FEB-24,state landing page,16,是
https://www.**************.com/ma/al-haouz,ma,01-FEB-24,state landing page,24,是
https://www.**************.com/en-tr/canakkale,tr,01-FEB-24,state landing page,6,是
https://www.**************.com/ma/agadir-ida-ou-tnan,ma,01-FEB-24,state landing page,13,是
https://www.**************.com/id/west-sulawesi,id,01-FEB-24,state landing page,15,是
https://www.**************.com/en-tr/bursa,tr,01-FEB-24,state landing page,16,是
https://www.**************.com/id/west-papua,id,01-FEB-24,state landing page,21,是
https://www.**************.com/id/west-kalimantan,id,01-FEB-24,state landing page,28,是
https://www.**************.com/id/southeast-sulawesi,id,01-FEB-24,state landing page,18,是
https://www.**************.com/en-tr/burdur,tr,01-FEB-24,state landing page,20,是
https://www.**************.com/id/south-sulawesi,id,01-FEB-24,state landing page,39,是
https://www.**************.com/id/south-kalimantan,id,01-FEB-24,state landing page,28,是
https://www.**************.com/id/riau-islands,id,01-FEB-24,state landing page,19,是
https://www.**************.com/id/north-maluku,id,01-FEB-24,state landing page,18,是
https://www.**************.com/en-tr/bolu,tr,01-FEB-24,state landing page,6,是
https://www.**************.com/id/north-kalimantan,id,01-FEB-24,state landing page,34,是
https://www.**************.com/id/maluku,id,01-FEB-24,state landing page,13,是
https://www.**************.com/en-tr/bitlis,tr,01-FEB-24,state landing page,11,是
https://www.**************.com/en-tr/bing?l,tr,01-FEB-24,state landing page,5,是
https://www.**************.com/id/lampung,id,01-FEB-24,state landing page,19,是
https://www.**************.com/id/jambi,id,01-FEB-24,state landing page,23,是
https://www.**************.com/en-tr/bilecik,tr,01-FEB-24,state landing page,8,是
https://www.**************.com/id/gorontalo,id,01-FEB-24,state landing page,28,是
https://www.**************.com/id/east-nusa-tenggara,id,01-FEB-24,state landing page,18,是
https://www.**************.com/id/central-sulawesi,id,01-FEB-24,state landing page,27,是
https://www.**************.com/id/bengkulu,id,01-FEB-24,state landing page,18,是
https://www.**************.com/en-tr/bayburt,tr,01-FEB-24,state landing page,6,是
https://www.**************.com/id/bangka–belitung-islands,id,01-FEB-24,state landing page,0,否
https://www.**************.com/gr/pieria,gr,01-FEB-24,state landing page,13,是
https://www.**************.com/gr/phthiotis,gr,01-FEB-24,state landing page,20,是
https://www.**************.com/gr/phocis,gr,01-FEB-24,state landing page,13,是
https://www.**************.com/gr/peloponnese,gr,01-FEB-24,state landing page,15,是
https://www.**************.com/gr/pella,gr,01-FEB-24,state landing page,5,是
https://www.**************.com/gr/north-aegean,gr,01-FEB-24,state landing page,14,是
https://www.**************.com/gr/nomos-zakynthou,gr,01-FEB-24,state landing page,7,是
https://www.**************.com/gr/nomos-voiotias,gr,01-FEB-24,state landing page,9,是
https://www.**************.com/gr/nomos-rodopis,gr,01-FEB-24,state landing page,24,是
https://www.**************.com/gr/nomos-prevezis,gr,01-FEB-24,state landing page,8,是
https://www.**************.com/gr/nomos-larisis,gr,01-FEB-24,state landing page,16,是
https://www.**************.com/gr/nomos-kykladon,gr,01-FEB-24,state landing page,10,是
https://www.**************.com/gr/nomos-kilkis,gr,01-FEB-24,state landing page,0,是
https://www.**************.com/gr/nomos-kilkis,gr,01-FEB-24,state landing page,20,是
https://www.**************.com/en-tr/batman,tr,01-FEB-24,state landing page,10,是
https://www.**************.com/gr/nomos-kerkyras,gr,01-FEB-24,state landing page,13,否
https://www.**************.com/en-tr/bart?n,tr,01-FEB-24,state landing page,5,是
https://www.**************.com/gr/nomos-kefallinias,gr,01-FEB-24,state landing page,12,是
https://www.**************.com/gr/nomos-kardhitsas,gr,01-FEB-24,state landing page,6,是
https://www.**************.com/gr/nomos-irakleiou,gr,01-FEB-24,state landing page,28,是
https://www.**************.com/gr/nomos-evrytanias,gr,01-FEB-24,state landing page,6,是
https://www.**************.com/gr/nomos-dramas,gr,01-FEB-24,state landing page,8,是
https://www.**************.com/gr/nomos-artas,gr,01-FEB-24,state landing page,10,是
https://www.**************.com/gr/nomos-argolidos,gr,01-FEB-24,state landing page,7,是
https://www.**************.com/gr/mount-athos,gr,01-FEB-24,state landing page,8,是
https://www.**************.com/gr/messenia,gr,01-FEB-24,state landing page,12,是
https://www.**************.com/gr/magnesia,gr,01-FEB-24,state landing page,13,是
